              BCC-CSM2-MR     BCC-ESM1      CAMS-CSM1-0     CESM2-WACCM      CESM2        CNRM-CM6-1     CNRM-ESM2-1    CanESM5       E3SM-1-0       EC-Earth3-Veg   EC-Earth3      GFDL-CM4      GFDL-ESM4    GISS-E2-1-G    GISS-E2-1-H  HadGEM3-GC31-LL  IPSL-CM6A-LR    MCM-UA-1-0      MIROC-ES2L       MIROC6     MPI-ESM1-2-HR   MRI-ESM2-0        NESM3      NorESM2-LM     SAM0-UNICON   UKESM1-0-LL
    22           3.48           3.78           3.45           4.52           4.92           5.22           4.72           5.68           6.21           4.93           4.68           4.52           3.64           3.57           4.05           5.43           5.28           4.18           3.40           3.22           3.69           3.92           5.65           3.48           4.52           5.45
    23           3.57           3.76           3.42           4.73           5.10           5.25           4.79           5.79           6.21           5.09           4.81           4.31           3.67           3.74           3.83           5.55           5.34           4.31           3.52           3.38           3.66           3.79           5.70           3.35           4.43           5.43
    24           3.72           3.79           3.49           4.64           5.17           5.45           4.77           5.99           6.54           4.97           4.99           4.32           3.55           3.58           3.88           5.28           5.40           4.23           3.83           3.65           3.70           3.75           5.65           3.43           4.45           5.50
    25           3.81           3.77           3.38           4.58           5.08           5.52           4.93           6.02           6.50           5.03           4.83           4.29           3.71           3.88           4.09           5.45           5.38           4.36           3.70           3.50           3.72           3.89           5.68           3.56           4.59           5.62
    26           3.78           3.87           3.50           4.56           5.08           5.40           4.91           5.89           6.47           5.28           4.93           4.40           3.72           3.82           3.95           5.70           5.27           4.33           3.55           3.32           3.82           3.89           5.69           3.47           4.59           5.81
    27           3.76           3.91           3.46           4.70           5.24           5.29           4.97           5.97           6.24           5.46           5.14           4.50           3.56           3.51           4.07           5.75           5.48           4.31           3.63           3.33           3.74           3.82           5.82           3.01           4.57           5.57
    28           3.79           3.91           3.39           4.78           5.41           5.42           4.90           6.05           6.40           5.28           5.16           4.55           3.63           3.53           4.21           5.72           5.59           4.39           3.92           3.37           3.81           3.68           6.05           3.03           4.60           5.70
    29           3.76           3.86           3.46           4.89           5.36           5.57           4.98           6.17           6.71           5.48           4.77           4.59           3.75           3.70           3.85           5.77           5.61           4.39           3.72           3.60           3.74           3.84           5.87           3.11           4.73           5.91
    30           3.95           3.96           3.53           4.93           5.29           5.55           5.11           6.15           6.59           5.53           4.89           4.60           3.72           3.64           3.94           5.83           5.84           4.45           3.60           3.64           3.87           3.90           6.03           3.27           4.82           5.83
    31           3.76           3.98           3.51           4.96           5.45           5.57           5.20           6.09           6.81           5.37           5.15           4.36           3.58           3.72           4.08           5.86           5.91           4.46           3.70           3.25           3.97           3.80           5.98           3.04           4.75           5.62
    32           3.70           4.00           3.53           4.80           5.36           5.37           4.85           6.17           6.76           5.37           5.24           4.54           3.60           3.68           4.22           5.97           5.67           4.53           3.89           3.34           3.96           3.60           5.92           3.01           4.58           5.80
    33           3.84           4.08           3.67           4.90           5.45           5.60           5.08           6.10           6.80           5.70           5.23           4.87           3.66           3.52           4.13           6.27           5.81           4.71           3.67           3.62           3.89           3.77           5.96           3.31           4.71           6.00
    34           3.89           4.07           3.55           5.10           5.36           5.68           5.13           6.21           6.79           5.51           5.11           4.69           3.71           3.79           4.24           5.96           5.74           4.61           3.61           3.96           3.99           3.79           6.08           3.53           4.65           6.16
    35           3.93           4.16           3.63           5.00           5.44           5.53           5.26           6.46           6.73           5.51           5.06           4.62           3.83           3.70           4.17           5.96           5.68           4.49           3.82           3.67           3.94           3.82           6.04           3.26           4.53           5.84
    36           3.99           4.23           3.69           4.86           5.49           5.88           5.27           6.30           6.61           5.49           5.43           4.71           3.73           3.55           4.05           6.14           5.69           4.40           3.97           3.47           3.92           3.82           6.17           3.00           4.62           5.87
    37           3.98           4.27           3.61           5.03           5.62           5.65           5.21           6.30           6.85           5.58           5.33           4.70           3.84           3.69           4.19           6.38           5.78           4.20           3.71           3.55           4.04           3.99           5.98           3.24           4.61           6.11
    38           4.05           4.21           3.75           5.05           5.58           5.83           5.22           6.49           6.60           5.55           5.10           4.82           3.70           3.91           4.31           6.27           5.76           4.36           3.61           3.67           4.17           3.78           5.97           3.32           4.44           6.10
    39           4.15           4.29           3.71           5.10           5.54           5.88           5.18           6.61           6.76           5.63           5.30           4.74           3.83           3.86           4.17           6.15           5.80           4.54           3.75           3.84           4.14           3.83           6.15           3.20           4.59           6.17
    40           4.04           4.36           3.70           5.11           5.56           5.78           5.17           6.46           6.98           5.88           5.55           4.65           3.94           3.61           4.21           6.20           5.82           4.61           3.88           3.63           4.06           4.01           6.09           3.59           4.56           6.20
    41           4.04           4.30           3.73           5.11           5.72           5.89           5.12           6.57           6.92           5.93           5.48           4.80           3.75           3.64           4.35           6.45           6.08           4.71           3.96           3.50           4.10           3.93           6.14           3.39           4.65           6.31
    42           4.10           4.26           3.71           5.09           5.64           5.84           5.20           6.55           7.05           5.56           5.66           4.71           3.77           3.86           4.03           6.40           6.12           4.54           3.87           3.65           4.08           3.94           6.28           3.06           4.54           6.32
    43           4.12           4.31           3.73           4.87           5.68           5.93           5.06           6.55           7.04           5.70           5.55           4.69           3.86           3.83           4.16           6.40           5.91           4.74           3.82           3.82           4.08           3.86           6.40           3.27           4.68           6.28
    44           4.14           4.31           3.74           5.12           5.78           5.87           5.25           6.65           6.91           5.82           5.58           4.91           3.97           3.56           4.44           6.52           6.10           4.71           3.90           3.55           4.03           3.71           6.25           3.38           4.74           6.48
    45           4.06           4.24           3.74           5.09           5.89           5.81           5.15           6.76           7.04           5.79           5.77           4.82           3.78           3.75           4.40           6.63           6.07           4.67           4.05           3.58           4.04           3.83           6.10           2.92           4.57           6.51
    46           4.06           4.27           3.71           5.14           5.94           5.90           5.35           6.70           7.10           6.14           5.45           4.75           3.92           3.90           4.40           6.57           5.97           4.70           3.91           3.72           4.12           3.87           6.36           2.89           4.81           6.40
    47           4.05           4.22           3.65           5.15           5.79           5.87           5.09           6.61           7.05           6.14           5.44           4.84           3.91           3.71           4.23           6.49           6.09           4.57           3.80           3.65           4.14           3.87           6.34           3.04           4.81           6.32
    48           4.11           4.19           3.77           5.21           6.00           5.96           5.21           6.75           7.07           5.96           5.63           4.76           3.89           3.80           4.45           6.63           6.20           4.65           4.04           3.52           4.18           3.82           6.29           3.32           4.65           6.46
    49           4.17           4.25           3.66           5.08           5.88           6.02           5.22           6.71           7.22           6.16           5.86           4.72           3.89           3.87           4.31           6.73           6.13           4.94           3.87           3.63           4.14           4.00           6.37           3.01           4.56           6.49
    50           4.23           4.23           3.83           5.07           5.86           5.92           5.13           6.58           7.38           6.19           5.47           4.95           3.94           3.74           4.08           6.69           6.14           4.94           3.59           3.94           4.03           3.94           6.36           3.23           4.60           6.50
    51           4.24           4.32           3.70           5.19           5.92           6.08           5.02           6.71           7.35           5.99           5.75           5.03           3.94           3.80           4.43           6.59           6.13           4.85           3.65           3.69           4.15           3.71           6.37           3.59           4.65           6.50
    52           4.16           4.28           3.82           5.24           5.81           6.10           5.22           6.77           7.56           6.12           6.11           5.04           3.92           3.91           4.44           6.57           6.13           4.50           3.96           3.74           4.33           3.90           6.34           3.63           4.65           6.40
    53           4.20           4.30           3.73           5.26           5.94           6.23           5.30           6.85           7.52           6.28           6.08           4.79           3.92           3.73           4.25           6.69           5.99           4.48           4.07           3.97           4.25           4.14           6.56           3.38           4.89           6.56
    54           4.18           4.31           3.70           5.16           5.86           6.19           5.46           7.03           7.27           6.05           5.83           4.91           3.96           3.64           4.49           6.79           5.98           4.52           3.82           3.90           4.17           3.92           6.56           3.51           4.80           6.68
    55           4.20           4.39           3.83           5.27           5.85           5.88           5.41           6.87           7.44           6.24           5.92           5.03           3.75           3.91           4.48           6.80           6.09           4.48           3.94           3.46           4.21           3.97           6.36           3.60           4.62           6.51
    56           4.22           4.32           3.69           5.29           5.96           6.20           5.42           7.01           7.46           6.28           6.09           4.99           3.83           3.86           4.26           6.82           6.38           4.44           4.20           3.41           4.19           4.02           6.43           3.46           4.63           6.62
    57           4.30           4.31           3.80           5.16           6.04           6.03           5.34           7.01           7.30           6.43           6.11           4.85           3.87           3.69           4.49           6.81           6.32           4.39           4.10           3.55           4.34           4.09           6.41           3.35           4.77           6.68
    58           4.21           4.39           3.85           5.31           6.08           6.13           5.55           7.19           7.36           6.40           5.91           4.93           3.86           3.82           4.53           6.75           6.13           4.58           3.92           3.62           4.16           3.82           6.41           3.31           4.67           6.83
    59           4.33           4.37           3.72           5.40           6.12           6.01           5.47           7.02           7.49           6.25           6.07           4.98           3.92           3.81           4.36           6.92           6.25           4.66           4.02           3.86           4.06           3.87           6.44           3.29           4.61           6.70
    60           4.26           4.36           3.78           5.40           5.96           6.17           5.48           7.11           7.31           6.13           6.19           4.90           3.88           3.74           4.59           6.98           6.28           4.75           4.17           3.88           4.18           4.06           6.44           3.54           4.61           6.89
    61           4.36           4.45           3.80           5.40           6.03           6.22           5.59           7.14           7.71           6.35           5.96           4.88           3.92           3.85           4.44           6.76           6.34           4.80           3.83           4.01           4.26           4.07           6.47           3.65           4.84           6.89
    62           4.26           4.37           3.68           5.45           6.16           6.04           5.69           6.93           7.65           6.48           5.96           4.96           3.79           3.75           4.23           6.78           6.54           4.82           3.66           3.93           4.44           4.04           6.43           3.70           4.68           6.92
    63           4.16           4.38           3.80           5.50           6.11           6.18           5.48           7.19           7.40           6.09           6.01           4.92           4.01           3.54           4.43           7.06           6.41           4.78           3.95           3.80           4.44           4.11           6.46           3.58           4.58           7.02
    64           4.27           4.44           3.91           5.51           6.22           6.13           5.49           7.13           7.57           6.20           6.15           5.00           3.96           3.83           4.50           6.93           6.31           4.79           4.11           3.54           4.32           4.13           6.54           3.58           4.86           6.86
    65           4.18           4.46           3.82           5.41           6.24           6.31           5.60           7.07           7.82           6.53           6.27           5.11           4.04           3.82           4.51           6.95           6.56           4.63           3.90           3.61           4.32           3.95           6.46           3.75           4.88           6.84
    66           4.26           4.49           3.89           5.43           6.36           6.27           5.57           7.08           7.64           6.69           6.10           5.14           3.91           3.69           4.31           7.24           6.50           4.89           3.90           3.93           4.31           3.93           6.73           3.67           4.73           6.98
    67           4.24           4.50           3.79           5.51           6.31           6.28           5.68           7.04           7.80           6.48           6.02           5.19           3.94           3.79           4.51           7.19           6.35           4.92           4.07           4.06           4.30           4.10           6.45           3.73           4.95           6.82
    68           4.30           4.49           3.86           5.69           6.10           6.27           5.59           7.02           7.49           6.45           6.25           5.23           3.97           3.92           4.59           6.96           6.34           4.88           4.14           3.75           4.40           4.03           6.55           3.73           4.85           6.91
    69           4.30           4.54           3.87           5.63           6.15           6.25           5.73           7.25           7.76           6.74           6.53           5.10           4.06           3.77           4.44           7.20           6.43           4.87           3.80           3.74           4.37           4.05           6.55           3.59           4.97           6.84
    70           4.15           4.57           3.71           5.49           6.25           6.30           5.85           7.04           7.72           6.72           6.23           5.10           3.79           3.78           4.44           7.30           6.62           4.77           3.78           3.93           4.38           4.17           6.52           3.59           4.84           6.83
    71           4.26           4.61           3.85           5.72           6.30           6.36           5.66           7.08           7.54           6.45           6.30           5.23           4.02           3.89           4.61           7.00           6.71           4.84           4.04           3.90           4.50           4.07           6.49           3.56           4.77           7.02
    72           4.33           4.65           3.79           5.65           6.24           6.26           5.61           7.29           7.62           6.57           6.60           5.15           4.02           3.72           4.46           7.04           6.48           4.82           4.20           3.59           4.59           4.21           6.52           3.25           5.00           7.17
    73           4.43           4.62           3.86           5.62           6.30           6.36           5.82           7.18           7.85           6.73           6.48           5.16           4.02           3.90           4.70           7.27           6.34           4.86           4.07           3.64           4.54           4.21           6.65           3.59           4.91           6.98
    74           4.29           4.66           3.78           5.71           6.38           6.45           5.80           7.29           7.59           6.75           6.47           5.16           4.00           3.82           4.65           7.18           6.43           4.92           3.75           3.87           4.41           4.29           6.68           3.76           4.94           7.06
    75           4.27           4.61           3.83           5.71           6.39           6.34           5.51           7.30           7.83           6.84           6.53           5.04           4.08           3.59           4.55           7.15           6.90           4.88           3.82           3.87           4.45           4.23           6.67           3.51           4.96           6.97
    76           4.46           4.63           3.88           5.77           6.44           6.38           5.82           7.13           7.79           6.83           6.43           5.15           4.00           3.73           4.75           7.37           6.67           4.74           4.25           3.55           4.31           4.21           6.83           3.77           4.88           7.06
    77           4.38           4.66           3.72           5.66           6.35           6.30           5.79           7.34           7.80           6.62           6.27           5.44           4.16           3.81           4.80           7.34           6.51           4.92           4.04           3.61           4.33           4.25           6.80           3.75           5.01           7.14
    78           4.33           4.65           3.93           5.79           6.43           6.36           5.85           7.50           7.66           6.65           6.32           5.15           4.20           3.69           4.49           7.35           6.58           4.98           3.78           3.82           4.40           4.28           6.62           3.56           4.83           6.95
    79           4.42           4.66           3.91           5.68           6.48           6.27           5.89           7.41           7.80           6.96           6.58           5.26           4.02           3.78           4.56           7.54           6.77           5.07           3.95           4.20           4.52           4.22           6.64           3.66           4.62           7.05
    80           4.46           4.76           3.90           5.71           6.44           6.46           5.82           7.39           8.03           6.97           6.67           5.55           4.17           3.87           4.84           7.21           6.68           4.92           4.05           3.97           4.53           4.22           6.69           3.80           4.80           7.14
    81           4.42           4.72           4.00           5.70           6.53           6.45           5.94           7.33           8.06           6.71           6.47           5.26           4.17           3.71           4.67           7.21           6.42           4.90           4.17           3.52           4.56           4.28           6.71           3.54           4.93           7.05
    82           4.48           4.67           3.75           5.85           6.54           6.36           5.84           7.48           8.07           6.77           6.41           5.30           4.02           3.89           4.79           7.26           6.37           4.78           3.94           3.57           4.56           4.39           6.71           3.53           4.85           7.18
    83           4.64           4.62           3.96           5.75           6.38           6.41           5.95           7.39           7.81           6.96           6.64           5.49           4.06           3.83           4.64           7.32           6.73           4.72           3.93           3.87           4.61           4.34           6.73           3.72           4.68           7.15
    84           4.49           4.49           3.85           5.76           6.49           6.49           5.96           7.43           7.92           7.01           6.79           5.09           4.21           3.79           4.51           7.25           6.80           4.93           4.09           3.89           4.54           4.31           6.71           3.72           4.65           7.27
    85           4.48           4.67           3.78           5.72           6.65           6.25           6.01           7.39           7.94           6.52           6.54           5.21           3.91           3.75           4.60           7.18           6.73           4.90           4.11           3.58           4.45           4.39           6.73           3.65           4.84           7.20
    86           4.53           4.66           3.97           5.80           6.59           6.49           5.86           7.27           8.12           6.57           6.49           5.28           4.03           3.92           4.71           7.43           6.70           4.80           3.84           3.59           4.42           4.26           6.64           3.93           4.84           7.22
    87           4.42           4.67           3.86           5.73           6.60           6.49           6.01           7.52           8.03           6.76           6.75           5.17           4.18           3.98           4.49           7.30           6.68           4.85           3.93           3.78           4.53           4.44           6.64           3.87           4.97           7.25
    88           4.37           4.75           3.92           5.82           6.64           6.62           5.95           7.65           8.06           7.08           6.65           5.20           4.23           3.74           4.77           7.21           6.83           5.09           4.03           4.08           4.56           4.38           6.55           3.78           4.90           7.40
    89           4.49           4.56           3.98           5.95           6.59           6.46           5.99           7.63           7.92           6.81           6.36           5.56           4.18           3.64           4.83           7.29           6.80           5.10           4.24           3.82           4.56           4.23           6.68           3.87           4.97           7.23
    90           4.44           4.70           3.98           5.94           6.61           6.54           5.93           7.48           7.97           6.86           6.67           5.48           4.15           3.94           4.65           7.42           6.60           5.18           3.93           3.77           4.57           4.35           6.83           3.40           5.03           7.14
    91           4.54           4.72           3.86           5.98           6.66           6.46           6.17           7.52           8.07           7.17           6.83           5.44           4.15           3.76           4.75           7.39           6.66           5.07           3.72           3.96           4.66           4.46           6.82           3.33           5.16           7.39
    92           4.57           4.65           3.93           5.85           6.56           6.50           6.04           7.54           8.14           7.02           6.61           5.39           4.02           3.90           4.84           7.31           6.77           5.11           3.98           4.12           4.73           4.32           6.69           3.76           5.11           7.46
    93           4.53           4.75           4.00           5.80           6.70           6.41           6.13           7.69           7.97           6.95           6.73           5.45           4.16           4.04           4.65           7.39           6.96           5.00           4.32           3.79           4.63           4.47           6.70           3.99           5.02           7.37
    94           4.48           4.73           3.99           5.97           6.68           6.51           6.27           7.67           7.89           7.02           6.79           5.40           4.29           4.04           4.80           7.46           6.99           4.96           4.00           3.74           4.64           4.45           6.75           3.94           5.03           7.35
    95           4.56           4.78           4.01           6.01           6.76           6.42           6.20           7.53           8.06           6.91           6.74           5.27           3.95           3.81           4.95           7.46           6.84           4.87           3.72           4.06           4.68           4.53           6.61           3.72           4.89           7.42
    96           4.61           4.66           4.07           5.92           6.78           6.19           6.14           7.65           8.14           6.81           6.72           5.55           4.17           3.97           4.73           7.39           6.83           5.06           4.02           4.00           4.69           4.43           6.67           3.90           5.18           7.36
    97           4.68           4.72           3.99           5.98           6.75           6.55           6.02           7.64           8.20           6.91           6.70           5.47           4.28           4.03           4.73           7.47           6.91           4.93           4.30           3.94           4.76           4.60           6.70           3.80           5.10           7.29
    98           4.74           4.66           3.91           6.09           6.87           6.44           6.05           7.51           8.10           7.11           6.95           5.42           4.18           3.98           4.90           7.36           6.92           4.90           4.07           3.92           4.78           4.56           6.77           3.46           4.89           7.38
    99           4.54           4.75           4.03           6.07           6.85           6.40           6.20           7.60           8.30           6.87           6.98           5.41           4.23           4.14           4.84           7.37           7.05           4.92           3.97           3.77           4.69           4.46           6.71           3.93           5.14           7.40
   100           4.58           4.72           4.00           6.16           6.88           6.34           6.20           7.75           8.32           6.90           6.52           5.47           4.23           3.81           4.65           7.40           6.91           4.85           3.98           3.86           4.68           4.32           6.73           4.02           5.13           7.29
   101           4.66           4.79           4.04           6.15           6.66           6.51           6.16           7.55           8.10           7.11           6.70           5.58           4.31           3.61           4.85           7.52           6.68           4.99           3.92           4.06           4.68           4.51           6.69           3.75           4.99           7.35
   102           4.64           4.81           4.14           6.21           6.91           6.40           6.09           7.54           8.22           7.08           6.88           5.61           4.20           4.01           4.82           7.59           6.88           5.07           4.14           3.75           4.58           4.66           6.87           3.75           5.11           7.40
   103           4.59           4.76           3.98           6.17           6.87           6.42           6.09           7.61           8.13           6.77           6.95           5.53           4.11           3.99           4.62           7.42           7.00           5.12           4.08           3.76           4.60           4.48           6.82           3.97           5.09           7.35
   104           4.70           4.81           4.09           6.08           6.91           6.47           6.11           7.53           7.91           6.85           6.66           5.60           4.15           3.92           4.78           7.48           6.87           5.24           3.74           4.04           4.70           4.56           6.78           3.91           5.31           7.36
   105           4.73           4.85           3.96           6.19           7.05           6.57           6.03           7.58           8.09           7.20           6.75           5.53           4.24           4.08           4.87           7.56           6.78           5.22           3.73           4.07           4.70           4.57           6.83           3.90           5.32           7.45
   106           4.76           4.86           4.06           6.12           7.01           6.53           6.06           7.68           8.23           7.17           6.76           5.75           4.27           3.99           4.80           7.41           6.94           5.12           3.99           3.68           4.60           4.57           6.79           3.80           5.24           7.37
   107           4.64           4.89           4.05           6.12           7.01           6.65           6.03           7.71           8.37           6.87           6.72           5.55           4.03           4.06           5.06           7.62           7.20           5.18           4.27           3.76           4.60           4.53           7.00           3.83           5.36           7.45
   108           4.57           4.81           4.13           6.32           7.00           6.63           6.18           7.67           8.28           6.89           6.91           5.71           4.15           3.89           4.77           7.71           7.05           5.13           4.06           4.00           4.80           4.59           6.95           3.96           5.25           7.43
   109           4.67           4.73           4.01           6.30           6.94           6.72           6.02           7.80           8.38           6.99           6.65           5.49           4.15           4.01           4.78           7.61           6.86           5.09           3.94           4.16           4.76           4.52           6.96           4.08           5.36           7.54
   110           4.69           4.79           4.05           6.30           6.94           6.45           6.18           7.82           8.22           7.21           6.68           5.58           4.15           4.09           4.94           7.63           6.91           5.03           4.13           3.82           4.68           4.52           7.02           3.83           5.27           7.45
   111           4.63           4.90           4.18           6.34           7.00           6.63           6.04           7.71           8.37           7.07           6.83           5.63           4.15           3.99           4.84           7.66           7.02           5.02           4.17           3.76           4.65           4.65           6.95           3.84           5.30           7.35
   112           4.66           4.86           4.06           6.31           7.01           6.58           5.94           7.72           8.35           7.11           6.92           5.55           4.16           4.07           5.01           7.56           7.08           5.08           3.78           3.94           4.68           4.67           6.81           4.02           5.17           7.38
   113           4.83           4.89           4.05           6.27           7.17           6.61           6.01           7.90           8.10           7.26           6.86           5.50           4.24           4.12           4.94           7.60           7.11           5.14           3.80           4.25           4.68           4.53           6.61           4.01           5.22           7.51
   114           4.79           4.96           4.09           6.20           7.09           6.60           6.03           7.70           8.31           7.11           6.79           5.57           4.20           4.08           4.94           7.72           6.85           5.16           4.09           4.17           4.68           4.56           6.93           3.95           5.35           7.64
   115           4.86           4.88           4.19           6.30           7.11           6.49           6.07           7.86           8.59           7.08           6.77           5.51           4.24           3.87           4.83           7.60           7.10           5.16           4.17           3.85           4.85           4.68           6.87           3.84           5.36           7.57
   116           4.90           4.95           4.06           6.32           7.22           6.67           6.16           7.97           8.40           7.34           6.91           5.60           4.24           3.98           4.99           7.62           7.14           5.13           3.94           3.86           4.83           4.63           6.80           3.90           5.30           7.54
   117           4.88           4.93           4.08           6.46           7.17           6.66           6.02           7.79           8.29           7.46           7.11           5.74           4.17           4.15           5.09           7.83           7.06           4.93           3.91           4.03           4.72           4.58           6.78           3.66           5.38           7.34
   118           4.81           5.00           4.09           6.32           7.38           6.74           6.21           7.70           8.29           7.09           6.97           5.77           4.33           3.91           5.04           7.72           7.37           4.93           4.03           4.21           4.81           4.71           7.00           3.77           5.40           7.51
   119           4.89           4.96           4.00           6.59           7.24           6.67           6.22           7.88           8.42           6.99           6.94           5.58           4.24           3.94           5.09           7.72           7.17           5.14           4.18           3.91           4.84           4.62           6.89           4.12           5.16           7.67
   120           4.91           4.83           4.19           6.64           7.30           6.67           6.02           7.84           8.29           7.31           6.95           5.66           4.28           4.27           4.93           7.84           6.90           5.05           3.94           3.84           4.89           4.61           6.72           4.10           5.39           7.37
   121           4.90           4.83           4.14           6.53           7.32           6.55           5.95           7.84           8.39           7.30           6.92           5.68           4.34           4.25           5.08           7.70           7.01           5.23           3.83           4.09           4.83           4.71           6.77           4.05           5.47           7.49
   122           4.83           4.83           4.12           6.54           7.26           6.63           6.00           7.71           8.31           7.03           6.90           5.81           4.29           4.07           5.08           7.89           7.09           5.20           4.07           4.25           4.78           4.67           6.93           4.09           5.47           7.52
   123           4.86           4.92           4.08           6.63           7.17           6.64           5.90           7.89           8.31           7.09           7.05           5.69           4.15           4.02           4.95           7.66           7.22           5.31           4.19           3.91           4.68           4.73           6.91           4.05           5.48           7.45
   124           4.83           4.95           4.15           6.56           7.21           6.72           6.12           7.83           8.61           7.22           6.89           5.84           4.13           4.31           4.92           7.83           7.16           5.27           3.82           3.75           4.78           4.71           6.80           3.98           5.25           7.56
   125           4.85           4.96           4.09           6.60           7.29           6.66           6.01           7.76           8.53           7.30           6.82           5.85           4.15           4.21           4.88           7.85           6.93           5.00           3.82           3.90           4.91           4.59           6.81           3.94           5.51           7.60
